ano,nome_municipio,sexo,uf,populacao
2021,Uarini,masculino,AM,7420
2021,Urucará,feminino,AM,7723
2021,Urucará,masculino,AM,8284
2021,Urucurituba,feminino,AM,11411
2021,Urucurituba,masculino,AM,12687
2021,Amajari,feminino,RR,6379
2021,Amajari,masculino,RR,7182
2021,Alto Alegre,feminino,RR,6969
2021,Alto Alegre,masculino,RR,8280
2021,Boa Vista,feminino,RR,214849
2021,Boa Vista,masculino,RR,221742
2021,Bonfim,feminino,RR,5679
2021,Bonfim,masculino,RR,7022
2021,Cantá,feminino,RR,8888
2021,Cantá,masculino,RR,10369
2021,Caracaraí,feminino,RR,10406
2021,Caracaraí,masculino,RR,12229
2021,Caroebe,feminino,RR,4854
2021,Caroebe,masculino,RR,5741
2021,Iracema,feminino,RR,5914
2021,Iracema,masculino,RR,6723
2021,Mucajaí,feminino,RR,8421
2021,Mucajaí,masculino,RR,10061
2021,Normandia,feminino,RR,5326
2021,Normandia,masculino,RR,6446
2021,Pacaraima,feminino,RR,9603
2021,Pacaraima,masculino,RR,10505
2021,Rorainópolis,feminino,RR,14088
2021,Rorainópolis,masculino,RR,17299
2021,São João da Baliza,feminino,RR,3987
2021,São João da Baliza,masculino,RR,4505
2021,São Luiz,feminino,RR,3751
2021,São Luiz,masculino,RR,4481
2021,Uiramutã,feminino,RR,5177
2021,Uiramutã,masculino,RR,5837
2021,Abaetetuba,feminino,PA,79366
2021,Abaetetuba,masculino,PA,81073
2021,Abel Figueiredo,feminino,PA,3618
2021,Abel Figueiredo,masculino,PA,3918
2021,Acará,feminino,PA,26296
2021,Acará,masculino,PA,29448
2021,Afuá,feminino,PA,18827
2021,Afuá,masculino,PA,21083
2021,Água Azul do Norte,feminino,PA,12850
2021,Água Azul do Norte,masculino,PA,14947
2021,Alenquer,feminino,PA,27984
2021,Alenquer,masculino,PA,29406
2021,Almeirim,feminino,PA,16527
2021,Almeirim,masculino,PA,17517
2021,Altamira,feminino,PA,58923
2021,Altamira,masculino,PA,58397
2021,Anajás,feminino,PA,14412
2021,Anajás,masculino,PA,15679
2021,Ananindeua,feminino,PA,284629
2021,Ananindeua,masculino,PA,255781
2021,Anapu,feminino,PA,13535
2021,Anapu,masculino,PA,15777
2021,Augusto Corrêa,feminino,PA,22708
2021,Augusto Corrêa,masculino,PA,24229
2021,Aurora do Pará,feminino,PA,16007
2021,Aurora do Pará,masculino,PA,16193
2021,Aveiro,feminino,PA,7694
2021,Aveiro,masculino,PA,8727
2021,Bagre,feminino,PA,16041
2021,Bagre,masculino,PA,15926
2021,Baião,feminino,PA,23204
2021,Baião,masculino,PA,26250
2021,Bannach,feminino,PA,1527
2021,Bannach,masculino,PA,1712
2021,Barcarena,feminino,PA,64540
2021,Barcarena,masculino,PA,64793
2021,Belém,feminino,PA,803110
2021,Belém,masculino,PA,703310
2021,Belterra,feminino,PA,8895
2021,Belterra,masculino,PA,9049
2021,Benevides,feminino,PA,32706
2021,Benevides,masculino,PA,32074
2021,Bom Jesus do Tocantins,feminino,PA,8027
2021,Bom Jesus do Tocantins,masculino,PA,9227
2021,Bonito,feminino,PA,8174
2021,Bonito,masculino,PA,8595
2021,Bragança,feminino,PA,64838
2021,Bragança,masculino,PA,65284
2021,Brasil Novo,feminino,PA,7176
2021,Brasil Novo,masculino,PA,7707
2021,Brejo Grande do Araguaia,feminino,PA,3499
2021,Brejo Grande do Araguaia,masculino,PA,3858
2021,Breu Branco,feminino,PA,34105
2021,Breu Branco,masculino,PA,34492
2021,Breves,feminino,PA,50490
2021,Breves,masculino,PA,53790
2021,Bujaru,feminino,PA,14191
2021,Bujaru,masculino,PA,15526
2021,Cachoeira do Piriá,feminino,PA,17481
2021,Cachoeira do Piriá,masculino,PA,17826
2021,Cachoeira do Arari,feminino,PA,11815
2021,Cachoeira do Arari,masculino,PA,12540
2021,Cametá,feminino,PA,68704
2021,Cametá,masculino,PA,72110
2021,Canaã dos Carajás,feminino,PA,20214
2021,Canaã dos Carajás,masculino,PA,18889
2021,Capanema,feminino,PA,35639
2021,Capanema,masculino,PA,34189
2021,Capitão Poço,feminino,PA,26938
2021,Capitão Poço,masculino,PA,27607
2021,Castanhal,feminino,PA,105898
2021,Castanhal,masculino,PA,99769
2021,Chaves,feminino,PA,11325
2021,Chaves,masculino,PA,12850
2021,Colares,feminino,PA,5925
2021,Colares,masculino,PA,6250
2021,Conceição do Araguaia,feminino,PA,23674
2021,Conceição do Araguaia,masculino,PA,24441
2021,Concórdia do Pará,feminino,PA,16556
2021,Concórdia do Pará,masculino,PA,17680
2021,Cumaru do Norte,feminino,PA,5607
2021,Cumaru do Norte,masculino,PA,8437
2021,Curionópolis,feminino,PA,8365
2021,Curionópolis,masculino,PA,9399
2021,Curralinho,feminino,PA,16833
2021,Curralinho,masculino,PA,18697
2021,Curuá,feminino,PA,7157
2021,Curuá,masculino,PA,7619
2021,Curuçá,feminino,PA,20199
2021,Curuçá,masculino,PA,20894
2021,Dom Eliseu,feminino,PA,29248
2021,Dom Eliseu,masculino,PA,31958
2021,Eldorado do Carajás,feminino,PA,16146
2021,Eldorado do Carajás,masculino,PA,17923
2021,Faro,feminino,PA,3379
2021,Faro,masculino,PA,3570
2021,Floresta do Araguaia,feminino,PA,9614
2021,Floresta do Araguaia,masculino,PA,11128
2021,Garrafão do Norte,feminino,PA,12628
2021,Garrafão do Norte,masculino,PA,13527
2021,Goianésia do Pará,feminino,PA,20313
2021,Goianésia do Pará,masculino,PA,21365
2021,Gurupá,feminino,PA,16049
2021,Gurupá,masculino,PA,18078
