ano,nome_municipio,sexo,uf,populacao
2018,São Pedro da Água Branca,masculino,MA,6352
2018,São Pedro dos Crentes,feminino,MA,2224
2018,São Pedro dos Crentes,masculino,MA,2427
2018,São Raimundo das Mangabeiras,feminino,MA,9218
2018,São Raimundo das Mangabeiras,masculino,MA,9537
2018,São Raimundo do Doca Bezerra,feminino,MA,2594
2018,São Raimundo do Doca Bezerra,masculino,MA,2751
2018,São Roberto,feminino,MA,3220
2018,São Roberto,masculino,MA,3429
2018,São Vicente Ferrer,feminino,MA,11009
2018,São Vicente Ferrer,masculino,MA,11133
2018,Satubinha,feminino,MA,6701
2018,Satubinha,masculino,MA,7029
2018,Senador Alexandre Costa,feminino,MA,5595
2018,Senador Alexandre Costa,masculino,MA,5472
2018,Senador La Rocque,feminino,MA,7340
2018,Senador La Rocque,masculino,MA,7027
2018,Serrano do Maranhão,feminino,MA,4842
2018,Serrano do Maranhão,masculino,MA,5364
2018,Sítio Novo,feminino,MA,8614
2018,Sítio Novo,masculino,MA,9387
2018,Sucupira do Norte,feminino,MA,5231
2018,Sucupira do Norte,masculino,MA,5408
2018,Sucupira do Riachão,feminino,MA,2800
2018,Sucupira do Riachão,masculino,MA,2845
2018,Tasso Fragoso,feminino,MA,4137
2018,Tasso Fragoso,masculino,MA,4322
2018,Timbiras,feminino,MA,14522
2018,Timbiras,masculino,MA,14542
2018,Timon,feminino,MA,86910
2018,Timon,masculino,MA,81063
2018,Trizidela do Vale,feminino,MA,11277
2018,Trizidela do Vale,masculino,MA,10608
2018,Tufilândia,feminino,MA,2889
2018,Tufilândia,masculino,MA,2937
2018,Tuntum,feminino,MA,20572
2018,Tuntum,masculino,MA,21049
2018,Turiaçu,feminino,MA,17154
2018,Turiaçu,masculino,MA,18343
2018,Turilândia,feminino,MA,12760
2018,Turilândia,masculino,MA,12605
2018,Tutóia,feminino,MA,29208
2018,Tutóia,masculino,MA,29103
2018,Urbano Santos,feminino,MA,16139
2018,Urbano Santos,masculino,MA,16636
2018,Vargem Grande,feminino,MA,28212
2018,Vargem Grande,masculino,MA,27629
2018,Viana,feminino,MA,26457
2018,Viana,masculino,MA,25772
2018,Vila Nova dos Martírios,feminino,MA,6304
2018,Vila Nova dos Martírios,masculino,MA,6879
2018,Vitória do Mearim,feminino,MA,16632
2018,Vitória do Mearim,masculino,MA,16032
2018,Vitorino Freire,feminino,MA,16058
2018,Vitorino Freire,masculino,MA,15467
2018,Zé Doca,feminino,MA,26197
2018,Zé Doca,masculino,MA,25274
2018,Acauã,feminino,PI,3452
2018,Acauã,masculino,PI,3613
2018,Agricolândia,feminino,PI,2690
2018,Agricolândia,masculino,PI,2458
2018,Água Branca,feminino,PI,9190
2018,Água Branca,masculino,PI,8159
2018,Alagoinha do Piauí,feminino,PI,3798
2018,Alagoinha do Piauí,masculino,PI,3838
2018,Alegrete do Piauí,feminino,PI,2497
2018,Alegrete do Piauí,masculino,PI,2415
2018,Alto Longá,feminino,PI,7149
2018,Alto Longá,masculino,PI,7119
2018,Altos,feminino,PI,20651
2018,Altos,masculino,PI,19789
2018,Alvorada do Gurguéia,feminino,PI,2600
2018,Alvorada do Gurguéia,masculino,PI,2792
2018,Amarante,feminino,PI,9155
2018,Amarante,masculino,PI,8437
2018,Angical do Piauí,feminino,PI,3569
2018,Angical do Piauí,masculino,PI,3223
2018,Anísio de Abreu,feminino,PI,4872
2018,Anísio de Abreu,masculino,PI,4946
2018,Antônio Almeida,feminino,PI,1529
2018,Antônio Almeida,masculino,PI,1629
2018,Aroazes,feminino,PI,2995
2018,Aroazes,masculino,PI,2849
2018,Aroeiras do Itaim,feminino,PI,1242
2018,Aroeiras do Itaim,masculino,PI,1309
2018,Arraial,feminino,PI,2440
2018,Arraial,masculino,PI,2295
2018,Assunção do Piauí,feminino,PI,3871
2018,Assunção do Piauí,masculino,PI,3957
2018,Avelino Lopes,feminino,PI,5673
2018,Avelino Lopes,masculino,PI,5579
2018,Baixa Grande do Ribeiro,feminino,PI,5518
2018,Baixa Grande do Ribeiro,masculino,PI,5979
2018,Barra D'Alcântara,feminino,PI,2100
2018,Barra D'Alcântara,masculino,PI,1850
2018,Barras,feminino,PI,23598
2018,Barras,masculino,PI,23343
2018,Barreiras do Piauí,feminino,PI,1594
2018,Barreiras do Piauí,masculino,PI,1750
2018,Barro Duro,feminino,PI,3652
2018,Barro Duro,masculino,PI,3386
2018,Batalha,feminino,PI,13424
2018,Batalha,masculino,PI,13382
2018,Bela Vista do Piauí,feminino,PI,1975
2018,Bela Vista do Piauí,masculino,PI,2024
2018,Belém do Piauí,feminino,PI,1731
2018,Belém do Piauí,masculino,PI,1813
2018,Beneditinos,feminino,PI,5169
2018,Beneditinos,masculino,PI,5293
2018,Bertolínia,feminino,PI,2762
2018,Bertolínia,masculino,PI,2733
2018,Betânia do Piauí,feminino,PI,2972
2018,Betânia do Piauí,masculino,PI,3228
2018,Boa Hora,feminino,PI,3364
2018,Boa Hora,masculino,PI,3380
2018,Bocaina,feminino,PI,2291
2018,Bocaina,masculino,PI,2205
2018,Bom Jesus,feminino,PI,12438
2018,Bom Jesus,masculino,PI,12522
2018,Bom Princípio do Piauí,feminino,PI,2730
2018,Bom Princípio do Piauí,masculino,PI,2878
2018,Bonfim do Piauí,feminino,PI,2891
2018,Bonfim do Piauí,masculino,PI,2763
2018,Boqueirão do Piauí,feminino,PI,3204
2018,Boqueirão do Piauí,masculino,PI,3184
2018,Brasileira,feminino,PI,4079
2018,Brasileira,masculino,PI,4231
2018,Brejo do Piauí,feminino,PI,1924
2018,Brejo do Piauí,masculino,PI,1978
2018,Buriti dos Lopes,feminino,PI,9954
2018,Buriti dos Lopes,masculino,PI,9800
2018,Buriti dos Montes,feminino,PI,3982
2018,Buriti dos Montes,masculino,PI,4241
2018,Cabeceiras do Piauí,feminino,PI,5225
2018,Cabeceiras do Piauí,masculino,PI,5315
2018,Cajazeiras do Piauí,feminino,PI,1768
2018,Cajazeiras do Piauí,masculino,PI,1776
2018,Cajueiro da Praia,feminino,PI,3693
2018,Cajueiro da Praia,masculino,PI,3915
2018,Caldeirão Grande do Piauí,feminino,PI,2875
2018,Caldeirão Grande do Piauí,masculino,PI,2895
2018,Campinas do Piauí,feminino,PI,2839
2018,Campinas do Piauí,masculino,PI,2764
2018,Campo Alegre do Fidalgo,feminino,PI,2470
2018,Campo Alegre do Fidalgo,masculino,PI,2549
2018,Campo Grande do Piauí,feminino,PI,2966
2018,Campo Grande do Piauí,masculino,PI,2953
2018,Campo Largo do Piauí,feminino,PI,3594
2018,Campo Largo do Piauí,masculino,PI,3651
2018,Campo Maior,feminino,PI,24513
2018,Campo Maior,masculino,PI,22257
2018,Canavieira,feminino,PI,1942
2018,Canavieira,masculino,PI,2015
2018,Canto do Buriti,feminino,PI,10663
2018,Canto do Buriti,masculino,PI,10449
2018,Capitão de Campos,feminino,PI,5712
2018,Capitão de Campos,masculino,PI,5676
2018,Capitão Gervásio Oliveira,feminino,PI,1989
2018,Capitão Gervásio Oliveira,masculino,PI,2097
2018,Caracol,feminino,PI,5350
2018,Caracol,masculino,PI,5516
2018,Caraúbas do Piauí,feminino,PI,2902
2018,Caraúbas do Piauí,masculino,PI,2943
2018,Caridade do Piauí,feminino,PI,2444
2018,Caridade do Piauí,masculino,PI,2605
2018,Castelo do Piauí,feminino,PI,10166
2018,Castelo do Piauí,masculino,PI,9549
2018,Caxingó,feminino,PI,2633
2018,Caxingó,masculino,PI,2762
2018,Cocal,feminino,PI,13781
2018,Cocal,masculino,PI,13944
2018,Cocal de Telha,feminino,PI,2535
2018,Cocal de Telha,masculino,PI,2346
2018,Cocal dos Alves,feminino,PI,3051
2018,Cocal dos Alves,masculino,PI,3089
2018,Coivaras,feminino,PI,1969
2018,Coivaras,masculino,PI,2038
2018,Colônia do Gurguéia,feminino,PI,3380
2018,Colônia do Gurguéia,masculino,PI,3071
2018,Colônia do Piauí,feminino,PI,3893
2018,Colônia do Piauí,masculino,PI,3758
2018,Conceição do Canindé,feminino,PI,2387
2018,Conceição do Canindé,masculino,PI,2411
2018,Coronel José Dias,feminino,PI,2268
2018,Coronel José Dias,masculino,PI,2410
2018,Corrente,feminino,PI,13286
2018,Corrente,masculino,PI,13289
2018,Cristalândia do Piauí,feminino,PI,4000
2018,Cristalândia do Piauí,masculino,PI,4264
2018,Cristino Castro,feminino,PI,5171
2018,Cristino Castro,masculino,PI,5230
2018,Curimatá,feminino,PI,5672
2018,Curimatá,masculino,PI,5676
2018,Currais,feminino,PI,2337
2018,Currais,masculino,PI,2602
2018,Curralinhos,feminino,PI,2218
2018,Curralinhos,masculino,PI,2207
2018,Curral Novo do Piauí,feminino,PI,2577
2018,Curral Novo do Piauí,masculino,PI,2739
2018,Demerval Lobão,feminino,PI,7145
2018,Demerval Lobão,masculino,PI,6648
2018,Dirceu Arcoverde,feminino,PI,3462
2018,Dirceu Arcoverde,masculino,PI,3530
2018,Dom Expedito Lopes,feminino,PI,3501
2018,Dom Expedito Lopes,masculino,PI,3383
2018,Domingos Mourão,feminino,PI,2178
2018,Domingos Mourão,masculino,PI,2178
2018,Dom Inocêncio,feminino,PI,4704
2018,Dom Inocêncio,masculino,PI,4842
2018,Elesbão Veloso,feminino,PI,7462
2018,Elesbão Veloso,masculino,PI,7168
2018,Eliseu Martins,feminino,PI,2399
2018,Eliseu Martins,masculino,PI,2501
2018,Esperantina,feminino,PI,20104
2018,Esperantina,masculino,PI,19517
2018,Fartura do Piauí,feminino,PI,2621
2018,Fartura do Piauí,masculino,PI,2674
2018,Flores do Piauí,feminino,PI,2213
2018,Flores do Piauí,masculino,PI,2251
2018,Floresta do Piauí,feminino,PI,1277
2018,Floresta do Piauí,masculino,PI,1279
2018,Floriano,feminino,PI,31698
2018,Floriano,masculino,PI,28142
2018,Francinópolis,feminino,PI,2754
2018,Francinópolis,masculino,PI,2595
2018,Francisco Ayres,feminino,PI,2257
2018,Francisco Ayres,masculino,PI,2116
2018,Francisco Macedo,feminino,PI,1601
2018,Francisco Macedo,masculino,PI,1565
2018,Francisco Santos,feminino,PI,4578
2018,Francisco Santos,masculino,PI,4684
2018,Fronteiras,feminino,PI,5965
2018,Fronteiras,masculino,PI,5625
2018,Geminiano,feminino,PI,2686
2018,Geminiano,masculino,PI,2738
2018,Gilbués,feminino,PI,5415
2018,Gilbués,masculino,PI,5271
2018,Guadalupe,feminino,PI,5228
2018,Guadalupe,masculino,PI,5272
2018,Guaribas,feminino,PI,2268
2018,Guaribas,masculino,PI,2288
2018,Hugo Napoleão,feminino,PI,2002
2018,Hugo Napoleão,masculino,PI,1873
2018,Ilha Grande,feminino,PI,4650
2018,Ilha Grande,masculino,PI,4744
2018,Inhuma,feminino,PI,7808
2018,Inhuma,masculino,PI,7488
2018,Ipiranga do Piauí,feminino,PI,4989
2018,Ipiranga do Piauí,masculino,PI,4793
2018,Isaías Coelho,feminino,PI,4281
2018,Isaías Coelho,masculino,PI,4270
2018,Itainópolis,feminino,PI,5821
2018,Itainópolis,masculino,PI,5686
2018,Itaueira,feminino,PI,5477
2018,Itaueira,masculino,PI,5533
2018,Jacobina do Piauí,feminino,PI,2880
2018,Jacobina do Piauí,masculino,PI,2873
2018,Jaicós,feminino,PI,9806
2018,Jaicós,masculino,PI,9229
2018,Jardim do Mulato,feminino,PI,2245
2018,Jardim do Mulato,masculino,PI,2249
2018,Jatobá do Piauí,feminino,PI,2370
2018,Jatobá do Piauí,masculino,PI,2485
